"";"volumeInfo.title";"volumeInfo.subtitle";"volumeInfo.authors";"volumeInfo.publisher";"volumeInfo.publishedDate";"volumeInfo.description";"volumeInfo.pageCount";"volumeInfo.printType";"volumeInfo.categories";"volumeInfo.maturityRating";"volumeInfo.allowAnonLogging";"volumeInfo.contentVersion";"volumeInfo.language";"volumeInfo.previewLink";"volumeInfo.infoLink";"volumeInfo.canonicalVolumeLink";"volumeInfo.averageRating";"volumeInfo.ratingsCount";"volumeInfo.readingModes.text";"volumeInfo.readingModes.image";"volumeInfo.imageLinks.smallThumbnail";"volumeInfo.imageLinks.thumbnail";"volumeInfo.panelizationSummary.containsEpubBubbles";"volumeInfo.panelizationSummary.containsImageBubbles"
"1";"Matériau, matière d'architecture soutenable";"Choix responsable des matériaux de construction, pour une conception globale de l'architecture soutenable";"Sophie Trachte";"Presses univ. de Louvain";"2012-07-15";"Cette thèse questionne les enjeux des matériaux dans la conception de l'architecture soutenable. Le matériau de construction joue un rôle prépondérant en répondant à des exigences de protection, de confort et de performances techniques tout en favorisant un langage architectural et des sensations. Mais le rôle des matériaux dépasse la notion d’image ou de performance : il doit aujourd’hui répondre à des exigences de préservation des ressources, d’impact environnemental et sanitaire mais aussi à des exigences de réutilisation ou de recyclage. La question du choix est abordée suivant une approche : - prospective, car elle tient compte à la fois des impacts environnementaux et sanitaires scientifiquement avérés et « présumés » ; - globale, car elle tient compte de l’ensemble des étapes du cycle de vie des matériaux et du bâtiment; - multidisciplinaire, car elle développe autour du matériau de construction, des aspects sensibles, scientifiques, historiques, industriels, techniques, environnementaux, sanitaires, etc ; Cette vision holistique du matériau permet d’élargir le champ des considérations en conjuguant les trois matérialités d’un matériau : matérialités visible, intrinsèque et soutenable.";538;"BOOK";"Architecture";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=-8gRiuYGvcoC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=1&source=gbs_api";"http://books.google.fr/books?id=-8gRiuYGvcoC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Mat%C3%A9riau_mati%C3%A8re_d_architecture_souten.html?hl=&id=-8gRiuYGvcoC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=-8gRiuYGvcoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=-8gRiuYGvcoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"2";"L'écologie des autres";"l'anthropologie et la question de la nature";"Philippe Descola";"Editions Quae";"2011";"La quatrième de couverture indique : ""Depuis la fin du XIXe siècle, l'anthropologie qui étudie l'unité de l'humanité dans la diversité de ses manifestations n'échappe pas au partage entre nature et culture. Elle est scindée entre une anthropologie physique qui établit l'unité par-delà les variations et une anthropologie culturelle ou sociale qui fait état des variations sur fond d'unité. Mais l'anthropologie culturelle est elle-même divisée entre deux explications : celle qui considère les diversités culturelles comme autant de réponses adaptatives aux contraintes du milieu naturel et celle qui insiste sur le traitement symbolique d'éléments naturels choisis dans le milieu environnant. Selon Philippe Descola, c'est en se libérant du dualisme et en recomposant une écologie des relations entre humains et non-humains que l'anthropologie, acceptant de renoncer à son anthropocentrisme, pourra sortir des débats entre déterminismes naturels et déterminismes culturels.""";110;"BOOK";"Anthropology";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=KwkT3W_sDqAC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=2&source=gbs_api";"http://books.google.fr/books?id=KwkT3W_sDqAC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/L_%C3%A9cologie_des_autres.html?hl=&id=KwkT3W_sDqAC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=KwkT3W_sDqAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=KwkT3W_sDqAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"3";"Comment ne pas endormir son auditoire en 30 secondes";"La communication orale avec diaporama";"Jean-Marc Aimonetti";"De Boeck Supérieur";"2006-06-14";"La communication orale avec diaporama : "" Si vous en avez assez des présentations orales ennuyeuses où des diapositives confuses achèvent un discours rébarbatif, ce livre est fait pour vous. "". Apprenez à répondre aux six questions que doit se poser un orateur : À qui est destinée ma présentation ? Quel est mon message ? Pourquoi ce message est-il important ? Comment le faire passer le mieux possible ? Quand aura lieu ma présentation ? Où aura lieu ma présentation ? Riche de nombreux car pratiques, de conseils et de fiches d'évaluation, ce guide explique avec humour comment articuler un discours percutant avec un support visuel efficace. Sa principale originalité est de recentrer le débat sur l'orateur. Peu importe que vous soyez commercial, étudiant, enseignant, ingénieur, médecin, manager, banquier ou encore chercheur, tous ceux qui doivent parler en public trouveront ici des réponses simples, claires, concises et tout de suite applicables pour réussir des présentations dynamiques et efficaces.";196;"BOOK";"Science";"NOT_MATURE";FALSE;"0.0.2.0.preview.1";"fr";"http://books.google.fr/books?id=HjBhe5n8BrsC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=3&source=gbs_api";"http://books.google.fr/books?id=HjBhe5n8BrsC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Comment_ne_pas_endormir_son_auditoire_en.html?hl=&id=HjBhe5n8BrsC";3;1;FALSE;TRUE;"http://books.google.com/books/content?id=HjBhe5n8BrsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=HjBhe5n8BrsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"4";"Hydraulique et hydrologie, 3e édition";NA;"Saad Bennis";"PUQ";"2014-01-08T00:00:00-05:00";"Hydraulique et hydrologie est un ouvrage original qui regroupe des notions qu’on ne retrouve pas traditionnellement réunies dans un même volume. Cet ouvrage permet aussi bien à l’étudiant qu’à l’ingénieur praticien d’acquérir les notions fondamentales qui sont à la base du design hydraulique et hydrologique.Dans la partie hydraulique, cet ouvrage traite des écoulements sous pression et à surface libre, des pompes et des stations de pompage, du coup de bélier dans les conduites gravitaires et de refoulement, des écoulements à travers les déversoirs et les orifices.Dans la partie hydrologie, l’ouvrage traite de l’estimation des différentes composantes du cycle hydrologique, des modèles de transformation pluie-fonte-débit, des laminages naturel et artificiel des crues et de la modélisation statistique du risque hydrologique.";500;"BOOK";"Science";"NOT_MATURE";FALSE;"1.3.3.0.preview.3";"fr";"http://books.google.fr/books?id=w1onDwAAQBAJ&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=4&source=gbs_api";"http://books.google.fr/books?id=w1onDwAAQBAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Hydraulique_et_hydrologie_3e_%C3%A9dition.html?hl=&id=w1onDwAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=w1onDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=w1onDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"5";"Cartographie Radar";NA;"Laurent Polidori";"Taylor & Francis";"1997";"Ce livre fait le point sur les applications du radar, tant aeroporte que spatial, en cartographie. La cartographie topographique est le sujet principal de l'ouvrage qui se concentre en particulier sur la modelisation numerique de terrain par radargrammetrie, radarclinometrie et interferometrie. Les principales applications thematiques de l'imagerie radar sont egalement passees en revue et illustrees. Destine aux utilisateurs et aux etudiants interesses par le domaine de l'imagerie radar (topographes, ingenieurs civils, geologues ...), ce texte les informera sur les potentialites -- et les limites -- de cette technique.";304;"BOOK";"Science";"NOT_MATURE";FALSE;"0.1.1.0.preview.1";"fr";"http://books.google.fr/books?id=xJH0ACwnkZ0C&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=5&source=gbs_api";"http://books.google.fr/books?id=xJH0ACwnkZ0C&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Cartographie_Radar.html?hl=&id=xJH0ACwnkZ0C";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=xJH0ACwnkZ0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=xJH0ACwnkZ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"6";"Théorie des signatures végétales au regard de la science";NA;"Guy Ducourthial";"Editions L'Harmattan";"2017-11-15";"Cet ouvrage complète la « Flore médicale des signatures ». Imaginée au XVIe siècle par Paracelse, la Théorie des signatures était proposée comme une méthode nouvelle pour faciliter les recherches des plantes médicinales dans la nature. Selon cette théorie, les plantes avec ces propriétés étaient marquées d'un signe aisément perceptible, une analogie entre ses parties et le corps humain ou entre une couleur et une humeur. L'auteur s'appuie sur les résultats de la recherche pour argumenter à l'encontre de cette théorie.";242;"BOOK";"Science";"NOT_MATURE";FALSE;"0.1.1.0.preview.3";"fr";"http://books.google.fr/books?id=s249DwAAQBAJ&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=6&source=gbs_api";"https://play.google.com/store/books/details?id=s249DwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-s249DwAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=s249DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=s249DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"7";"Entre local et global";"Les territoires dans la mondialisation";"Cynthia Ghorra-Gobin,Magali Reghezza-Zitt";"Éditions Le Manuscrit";"2016-06-09T00:00:00+02:00";"La mondialisation, alliée à la métamorphose du capitalisme à sa financiarisation, a largement contribué à l'émergence du « local ». Qu'il s'agisse d'aménagement, d'action publique, de logiques économiques, on est passé du territoire aux territoires. Ce glissement du singulier au pluriel n'est pas neutre. Les territoires désignent aujourd'hui un local qui présente la particularité de s'inscrire dans le global : dans un espace mondialisé, les lieux sont fortement interconnectés. Des systèmes d'interdépendances de plus en plus complexes donnent naissance au « glocal ». Dès lors le local subit désormais des contraintes ou des influences venues d'autres territoires. Tiré d'un séminaire de recherche à l'École normale supérieure, cet ouvrage montre, à partir de différents cas d'étude, comment la mondialisation redéfinit la nature même des territoires.";280;"BOOK";"Social Science";"NOT_MATURE";FALSE;"1.2.2.0.preview.3";"fr";"http://books.google.fr/books?id=YyKrDQAAQBAJ&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=7&source=gbs_api";"http://books.google.fr/books?id=YyKrDQAAQBAJ&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Entre_local_et_global.html?hl=&id=YyKrDQAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=YyKrDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=YyKrDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"8";"Prolo Sapiens";NA;"Jacques Henri Prévost";"jacques prévost";"2004";"Prolo Sapiens, c'est l'histoire d'un jeune homme que les circonstances de la fin de la guerre de 1940 amenèrent dans un milieu étrange, aujourd'hui disparu. Ce monde difficile et brutal, c'était la sidérurgie du Nord de la France, l'aciérie au sein de laquelle Julien rencontra une communauté de travail constituée d'hommes rudes aux comportements primitifs mais aux personnalités attachantes. Julien y exerça pendant quinze années un travail pénible et fatigant. Il côtoya la crasse et la violence, la souffrance, les flammes et la mort. Il y fit l'apprentissage du danger, de la fraternité et du courage, et n'oublia jamais la splendeur lumineuse et dorée des coulées d’acier liquide. Il y rencontra la jalousie et la méchanceté, et l’inévitable cheminement conduisant chaque homme à monter, briller, puis descendre, de gré ou de force, pour faire place à la génération suivante. Julien, c'est l'auteur dans sa jeunesse. Il est contemplé avec indulgence et attendrissement, par l'homme âgé qui raconte cette histoire, en mémoire de ses anciens compagnons de labeur et de poussière, de sueur et d'émerveillement dans la défunte confrérie flamboyante des Maitres Aciéristes du Valenciennois.";90;"BOOK";"France, Northern";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=qI0KKvL2D_kC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=8&source=gbs_api";"https://play.google.com/store/books/details?id=qI0KKvL2D_kC&source=gbs_api";"https://market.android.com/details?id=book-qI0KKvL2D_kC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=qI0KKvL2D_kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=qI0KKvL2D_kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"9";"Se libérer de la matière?";"fantasmes autour des nouvelles technologies : une conférence-débat organisée par le groupe ""Sciences en questions"", Paris, INRA, 27 mai 2004";"Bernadette Bensaude-Vincent";"Editions Quae";"2004";"On distinguait autrefois les civilisations d'après la nature du matériau qui prévalait : âge de pierre, âge du bronze, âge du fer. En ce début de XXIe siècle, on parle d'un "" âge de l'information "" ou d'une "" société de la connaissance "". Certains, en effet, proclament déjà "" la fin de l'âge des matériaux "". La notion de dématérialisation, apparue vers 1990 comme une tendance des techniques modernes et un impératif d'écologie industrielle, désigne une diminution de la matière dans les biens de consommation. Aujourd'hui, les nanotechnologies renforcent l'espoir de s'affranchir de la matière par les pouvoirs de l'esprit. Ne s'agit-il pas plutôt en l'occurrence d'une forme de contrat avec de nouveaux matériaux, ingénieux et partenaires ? Loin de nous acheminer vers une civilisation de plus en plus spirituelle, nous sommes entrés de fait dans "" l'âge des matériaux "".";89;"BOOK";"Materials";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=R5M4ulasDM0C&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=9&source=gbs_api";"http://books.google.fr/books?id=R5M4ulasDM0C&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Se_lib%C3%A9rer_de_la_mati%C3%A8re.html?hl=&id=R5M4ulasDM0C";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=R5M4ulasDM0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=R5M4ulasDM0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"10";"Bioclimatologie";"Concepts et applications";"Sané de Parcevaux,Laurent Huber";"Editions Quae";"2007-10-15";"La bioclimatologie étudie les relations entre les écosystèmes cultivés ou naturels et le climat. Les démarches agronomiques et les techniques agricoles peuvent ainsi être améliorées tout en veillant au respect de l’environnement. Les bases physiques et biologiques exposées dans cet ouvrage, ainsi que diverses méthodes de mesure ou d’analyse, permettent de proposer des alternatives aux approches fondées sur des relations empiriques ou statistiques. Le livre donne aussi de nombreux exemples d’applications qui découlent de ces principes. Public : étudiants, futurs ingénieurs en agronomie, écologie végétale, agrométéorologie et sciences de l’environnement, professionnels de l’agriculture et chercheurs de disciplines connexes.";NA;"BOOK";"Science";"NOT_MATURE";FALSE;"0.3.3.0.preview.3";"fr";"http://books.google.fr/books?id=aBLLQ0I00HwC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=10&source=gbs_api";"https://play.google.com/store/books/details?id=aBLLQ0I00HwC&source=gbs_api";"https://market.android.com/details?id=book-aBLLQ0I00HwC";4,5;2;TRUE;TRUE;"http://books.google.com/books/content?id=aBLLQ0I00HwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=aBLLQ0I00HwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"11";"Chimie pour les étudiants en médecine";"et pour tous ceux qui ne seront pas chimistes";"Raul Sutton,Bernard Rockett,Peter Swindells";"De Boeck Supérieur";"2010-03-03";"Ce livre décrit les notions de chimie générale et de chimie organique que tout étudiant - ne se destinant pas à l'étude de la chimie proprement dite - doit connaître. Le contenu de cet ouvrage est donc tout particulièrement adapté pour ceux qui se lancent dans des études de santé et de biologie. Le texte est clair, précis, et n'exige pas de prérequis. Le but de ce livre est de donner goût à la chimie, d'aider à la comprendre et de rassurer les étudiants quant à une bonne assimilation des concepts, grâce aux nombreux exemples et questions-réponses.";320;"BOOK";"Science";"NOT_MATURE";FALSE;"0.0.2.0.preview.1";"fr";"http://books.google.fr/books?id=OUvLHCQWitkC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=11&source=gbs_api";"http://books.google.fr/books?id=OUvLHCQWitkC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Chimie_pour_les_%C3%A9tudiants_en_m%C3%A9decine.html?hl=&id=OUvLHCQWitkC";5;1;FALSE;TRUE;"http://books.google.com/books/content?id=OUvLHCQWitkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=OUvLHCQWitkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"12";"Assimilation de l'azote chez les plantes";"aspects physiologique, biochimique et moléculaire";"Jean-François Morot-Gaudry";"Editions Quae";"1997";"Le souci de la protection de l'environnement et de la qualité des aliments ainsi que la nécessité de régulariser les rendements demandent de reconsidérer les potentialités physiologiques des plantes. Par Exemple, l'apport massif et ponctuel d'engrais azotés, pour des raisons économiques et techniques amène des gaspillages souvent à l'origine des pollutions. Améliorer l'efficacité de capture et de stockage de l'azote par les plantes est donc nécessaire. L'application des techniques agronomiques modernes permet déjà de réduire considérablement les pertes de nitrates. Cependant, à l'avenir, les moyens d'action devraient être essentiellement tournés vers la génétique et conduire à l'élaboration de variétés plus économes en azote. L'objectif de cet ouvrage est de publier les principales connaissances acquises ces vingt dernières années sur le métabolisme azoté. Elles permettent d'envisager de nouvelles stratégies d'amélioration des espèces adaptées à des itinéraires techniques appropriés. Ce livre s'adresse aux étudiants de 2e et 3e cycles universitaires et des écoles d'agronomie ou d'agriculture. Il sera très utile aux professeurs de ces établissements et à toutes les personnes qui doivent acquérir rapidement des connaissances dans le domaine de l'assimilation de l'azote chez les plantes supérieures d'intérêt agronomique.";422;"BOOK";"Crops and nitrogen";"NOT_MATURE";FALSE;"0.1.0.0.preview.1";"fr";"http://books.google.fr/books?id=45ceHEqjZtcC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=12&source=gbs_api";"http://books.google.fr/books?id=45ceHEqjZtcC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Assimilation_de_l_azote_chez_les_plantes.html?hl=&id=45ceHEqjZtcC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=45ceHEqjZtcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=45ceHEqjZtcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"13";"La microstructure des aciers et des fontes";"Genèse et interprétation";"Madeleine Durand-Charre";"EDP Sciences";"2012-09-01T00:00:00+02:00";"L'élaboration et la mise en œuvre des aciers et des fontes continuent de poser des défis à la métallurgie. Grâce à l'apport technologique de la microscopie électronique, elle peut être explorée dans ses moindres détails. L'interprétation d'une micrographie requiert une large culture métallurgique car souvent de nombreuses transforma...";440;"BOOK";"Technology & Engineering";"NOT_MATURE";FALSE;"1.15.0.0.preview.1";"fr";"http://books.google.fr/books?id=76nkhUlV5qUC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=13&source=gbs_api";"https://play.google.com/store/books/details?id=76nkhUlV5qUC&source=gbs_api";"https://market.android.com/details?id=book-76nkhUlV5qUC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=76nkhUlV5qUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=76nkhUlV5qUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"14";"Biology of Fishes";NA;"Quentin Bone,Richard Moore";"Garland Science";"2008-02-01";"The Third Edition of Biology of Fishes is chiefly about fish as remarkably efficient machines for coping with the many problems that life in water entails, and looks at many such special cases. Fishes form the largest group of vertebrates, with around 20,000 known species, and they display a remarkable diversity of size, shape, internal structure and ecology to cope with environments ranging from transient puddles to the abyssal depths of the sea. Biology of Fishes does not try to cover all aspects of fish biology, but focuses on the ingenious ways in which fish have resolved the particular problems that come from living in water, especially body fluid regulation, locomotion, feeding mechanisms, and sensory systems. Enough detail is provided for the reader to be able to go on and use primary research papers. Each chapter has been thoroughly updated and a new chapter on the immune system has been added. This is an ideal textbook for students of fish biology and any of the branches of aquatic biology. Given its skilful combination of breadth and detail, the book also provides a manageable review of fish biology for experienced biologists.";450;"BOOK";"Science";"NOT_MATURE";FALSE;"0.1.0.0.preview.1";"en";"http://books.google.fr/books?id=sLoqT_xWaqoC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=14&source=gbs_api";"https://play.google.com/store/books/details?id=sLoqT_xWaqoC&source=gbs_api";"https://market.android.com/details?id=book-sLoqT_xWaqoC";3;1;FALSE;TRUE;"http://books.google.com/books/content?id=sLoqT_xWaqoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=sLoqT_xWaqoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"15";"Optimisation et contrôle stochastique appliqués à la finance";NA;"Huyên Pham";"Springer Science & Business Media";"2007-09-06";"Ce livre présente les différents aspects et méthodes utilisés dans la résolution des problèmes d'optimisation stochastique avec en vue des applications plus spécifiques à la finance. Il expose graduellement les méthodes mathématiques en présentant d'abord les idées intuitives, puis en énonçant précisément les résultats avec des démonstrations complètes et détaillées. Chacune des méthodes est illustrée sur de nombreux exemples issus de la finance.";188;"BOOK";"Mathematics";"NOT_MATURE";FALSE;"1.0.0.0.preview.1";"fr";"http://books.google.fr/books?id=dVMNLPe6oxEC&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=15&source=gbs_api";"http://books.google.fr/books?id=dVMNLPe6oxEC&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Optimisation_et_contr%C3%B4le_stochastique_a.html?hl=&id=dVMNLPe6oxEC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=dVMNLPe6oxEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=dVMNLPe6oxEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"16";"Lucy et l’obscurantisme";NA;"Pascal Picq";"Odile Jacob";"2007-04-20";"<U+FEFF>« Ce livre est né de ma prise de conscience des grandes interrogations de notre temps quant à notre origine. À partir de quelques exemples vécus et de données frappantes portant sur l’ampleur de la réaction créationniste dans le monde, mais aussi dans notre pays, qui se croit à tort protégé, on saisira mieux à quel point la rationalité et la pensée scientifique s’avèrent de moins en moins bien comprises et, pis encore, de plus en plus menacées. Sur quels arguments s’appuient les créationnistes ? Ils ne datent pas d’hier, mais quelles sont leurs formes contemporaines ? Et, surtout, qu’est-ce qui permet de les récuser ? La théorie de l’évolution n’explique pas tout, ce n’est pas une vérité absolue établie une fois pour toutes — on verra au contraire qu’en son sein les discussions et les désaccords sont nombreux —, mais elle ne s’en distingue pas moins radicalement de toutes les autres tentatives, mythologiques, religieuses, idéologiques, philosophiques pour rendre compte de notre monde et de ce que nous sommes. Voilà, je crois, de quoi remettre le débat sur de nouvelles bases. » Pascal Picq Pascal Picq est maître de conférences à la chaire de paléoanthropologie et préhistoire du Collège de France. Il est notamment l’auteur, chez Odile Jacob, de Au commencement était l’homme et a aussi publié Les Tigres et Les Grands Singes.";300;"BOOK";"Science";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=cFHwFS2RHB0C&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=16&source=gbs_api";"http://books.google.fr/books?id=cFHwFS2RHB0C&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Lucy_et_l_obscurantisme.html?hl=&id=cFHwFS2RHB0C";4;1;FALSE;TRUE;"http://books.google.com/books/content?id=cFHwFS2RHB0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=cFHwFS2RHB0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"17";"Biologie de la mémoire";NA;"Georges Chapouthier";"Odile Jacob";"2006-03-02";"<U+FEFF>C’est grâce à la mémoire que nous nous rappelons qui nous sommes, qui sont nos proches, où nous habitons, ce que nous devons faire aujourd’hui… C’est grâce à elle que nous parlons plusieurs langues, que nous fredonnons des chansons, que nous conduisons notre voiture sans y penser et que nous retrouvons nos clefs. Et lorsqu’elle s’effondre, nous en perdons notre identité. Dans ce livre complet et limpide, Georges Chapouthier, l’un de nos meilleurs spécialistes, fait la synthèse de ce que nous avons appris ces trente dernières années sur les différents types de mémoire et sur la mosaïque de leurs mécanismes moléculaires. Il montre aussi que la mémoire a partie liée avec l’anxiété. Georges Chapouthier, directeur de recherche au CNRS, anime une équipe du laboratoire « Vulnérabilité, adaptation et psychopathologie » à l’hôpital de La Pitié-Salpêtrière de l’université Pierre-et-Marie-Curie. Il a publié L’Homme, ce singe en mosaïque.";224;"BOOK";"Science";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=0y2iAK5hf_0C&printsec=frontcover&dq=subject:Science&hl=&as_pt=BOOKS&cd=17&source=gbs_api";"http://books.google.fr/books?id=0y2iAK5hf_0C&dq=subject:Science&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Biologie_de_la_m%C3%A9moire.html?hl=&id=0y2iAK5hf_0C";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=0y2iAK5hf_0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=0y2iAK5hf_0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
